Key: 3004, Value: 87223
Key: 8005, Value: 53627
Key: 3009, Value: 87230
Key: 3013, Value: 79294
Key: 8013, Value: 82952
Key: 9020, Value: 59678
Key: 7023, Value: 16294
Key: 23, Value: 54384
Key: 7032, Value: 45110
Key: 7042, Value: 31207
Key: 7046, Value: 14133
Key: 7046, Value: 26457
Key: 50, Value: 36352
Key: 4054, Value: 59627
Key: 4054, Value: 87503
Key: 9056, Value: 16849
Key: 9056, Value: 26114
Key: 9056, Value: 90382
Key: 8058, Value: 4174
Key: 3058, Value: 42444
Key: 6059, Value: 39326
Key: 6059, Value: 63045
Key: 6063, Value: 86726
Key: 6063, Value: 67511
Key: 1067, Value: 71779
Key: 9071, Value: 74573
Key: 3073, Value: 31064
Key: 2073, Value: 15330
Key: 1081, Value: 14996
Key: 4084, Value: 46365
Key: 6093, Value: 71063
Key: 8094, Value: 79939
Key: 6104, Value: 58606
Key: 5107, Value: 56244
Key: 7107, Value: 60102
Key: 5107, Value: 38163
Key: 8108, Value: 52799
Key: 8108, Value: 85649
Key: 4109, Value: 78494
Key: 4109, Value: 75399
Key: 4109, Value: 16021
Key: 1119, Value: 81744
Key: 6119, Value: 57429
Key: 127, Value: 99022
Key: 127, Value: 45348
Key: 8128, Value: 9605
Key: 8128, Value: 610
Key: 2134, Value: 79650
Key: 4137, Value: 48072
Key: 4137, Value: 68974
Key: 6152, Value: 29675
Key: 3155, Value: 73885
Key: 3155, Value: 59361
Key: 3155, Value: 26606
Key: 2157, Value: 82716
Key: 9159, Value: 98460
Key: 9168, Value: 58902
Key: 1169, Value: 43544
Key: 171, Value: 81227
Key: 171, Value: 40295
Key: 171, Value: 11401
Key: 3172, Value: 17253
Key: 8172, Value: 11481
Key: 1175, Value: 76892
Key: 7177, Value: 79286
Key: 7177, Value: 38966
Key: 8181, Value: 86237
Key: 2184, Value: 92655
Key: 5192, Value: 32126
Key: 7194, Value: 3934
Key: 7194, Value: 99706
Key: 6223, Value: 40057
Key: 7224, Value: 76690
Key: 7224, Value: 55051
Key: 2228, Value: 51918
Key: 2232, Value: 80937
Key: 2232, Value: 30413
Key: 8233, Value: 80257
Key: 1233, Value: 38564
Key: 9238, Value: 20464
Key: 9240, Value: 98338
Key: 9243, Value: 63673
Key: 1243, Value: 42553
Key: 7244, Value: 94066
Key: 9248, Value: 21176
Key: 1251, Value: 29936
Key: 6254, Value: 38200
Key: 7254, Value: 92498
Key: 4256, Value: 60784
Key: 9256, Value: 12587
Key: 4256, Value: 35326
Key: 9256, Value: 35565
Key: 2257, Value: 40610
Key: 9262, Value: 35067
Key: 9262, Value: 9618
Key: 7272, Value: 81514
Key: 9280, Value: 46057
Key: 1283, Value: 76422
Key: 5289, Value: 8485
Key: 4291, Value: 18519
Key: 4291, Value: 45980
Key: 2298, Value: 69636
Key: 2298, Value: 85019
Key: 3303, Value: 11511
Key: 6305, Value: 31489
Key: 2310, Value: 71657
Key: 2310, Value: 66611
Key: 8312, Value: 1840
Key: 9323, Value: 18260
Key: 1325, Value: 97348
Key: 9328, Value: 64923
Key: 9328, Value: 75413
Key: 4354, Value: 11200
Key: 7355, Value: 42007
Key: 4364, Value: 5105
Key: 371, Value: 37877
Key: 9375, Value: 65116
Key: 7383, Value: 31093
Key: 9387, Value: 95598
Key: 3388, Value: 90485
Key: 3388, Value: 80554
Key: 4390, Value: 36479
Key: 5391, Value: 13004
Key: 5391, Value: 89021
Key: 2391, Value: 86789
Key: 5404, Value: 36871
Key: 7405, Value: 19655
Key: 7405, Value: 81539
Key: 2406, Value: 96899
Key: 7408, Value: 65060
Key: 7408, Value: 33006
Key: 4413, Value: 19710
Key: 4413, Value: 20473
Key: 4413, Value: 66877
Key: 415, Value: 29472
Key: 415, Value: 14273
Key: 415, Value: 550
Key: 415, Value: 26479
Key: 1416, Value: 72943
Key: 428, Value: 66841
Key: 4433, Value: 56946
Key: 4433, Value: 25244
Key: 5441, Value: 73609
Key: 3441, Value: 18753
Key: 3441, Value: 23785
Key: 444, Value: 2083
Key: 455, Value: 32707
Key: 455, Value: 75061
Key: 9459, Value: 25791
Key: 4462, Value: 36727
Key: 8463, Value: 59096
Key: 5463, Value: 43817
Key: 8467, Value: 98437
Key: 9471, Value: 27343
Key: 3474, Value: 80488
Key: 7475, Value: 45477
Key: 2477, Value: 26037
Key: 7484, Value: 801
Key: 491, Value: 23197
Key: 493, Value: 78472
Key: 498, Value: 89529
Key: 4500, Value: 59421
Key: 9507, Value: 36741
Key: 2509, Value: 4632
Key: 2509, Value: 24065
Key: 510, Value: 30689
Key: 6510, Value: 18862
Key: 3522, Value: 48818
Key: 3522, Value: 64374
Key: 1527, Value: 4277
Key: 1536, Value: 28595
Key: 540, Value: 19642
Key: 540, Value: 5116
Key: 544, Value: 84973
Key: 7544, Value: 27183
Key: 6546, Value: 29800
Key: 6546, Value: 14341
Key: 6548, Value: 6269
Key: 4549, Value: 65772
Key: 4549, Value: 14684
Key: 8549, Value: 12212
Key: 4549, Value: 67465
Key: 3552, Value: 83711
Key: 6555, Value: 67062
Key: 559, Value: 80418
Key: 559, Value: 43645
Key: 1564, Value: 64605
Key: 1564, Value: 91449
Key: 1568, Value: 16581
Key: 7571, Value: 73959
Key: 7571, Value: 5393
Key: 575, Value: 70652
Key: 2589, Value: 11951
Key: 4599, Value: 42687
Key: 4599, Value: 26350
Key: 6602, Value: 12934
Key: 7609, Value: 28850
Key: 7609, Value: 95974
Key: 2614, Value: 90808
Key: 9616, Value: 72474
Key: 4616, Value: 31272
Key: 1628, Value: 20081
Key: 1636, Value: 48308
Key: 647, Value: 84008
Key: 647, Value: 10990
Key: 5652, Value: 11886
