Key: 5023, Value: 18400
Key: 5024, Value: 69383
Key: 2026, Value: 28002
Key: 9034, Value: 98162
Key: 3039, Value: 444
Key: 58, Value: 40549
Key: 58, Value: 44110
Key: 64, Value: 41980
Key: 64, Value: 13315
Key: 65, Value: 60163
Key: 9065, Value: 61855
Key: 8071, Value: 5869
Key: 9074, Value: 35895
Key: 9074, Value: 53680
Key: 3076, Value: 75990
Key: 8076, Value: 13809
Key: 6078, Value: 86337
Key: 6078, Value: 81651
Key: 1085, Value: 33180
Key: 8098, Value: 40537
Key: 6104, Value: 38134
Key: 6104, Value: 22420
Key: 2107, Value: 90912
Key: 117, Value: 19811
Key: 9117, Value: 46700
Key: 9117, Value: 1234
Key: 9120, Value: 12825
Key: 9157, Value: 23715
Key: 2180, Value: 28346
Key: 1180, Value: 65465
Key: 5201, Value: 52523
Key: 2219, Value: 2467
Key: 6219, Value: 17841
Key: 5228, Value: 46745
Key: 6231, Value: 54813
Key: 9237, Value: 59009
Key: 2249, Value: 79189
Key: 4254, Value: 46897
Key: 4254, Value: 15707
Key: 260, Value: 94859
Key: 260, Value: 92648
Key: 4274, Value: 65783
Key: 3277, Value: 3157
Key: 3277, Value: 89236
Key: 5284, Value: 58399
Key: 9284, Value: 33038
Key: 9284, Value: 60903
Key: 312, Value: 71141
Key: 312, Value: 32053
Key: 1314, Value: 54855
Key: 1318, Value: 55427
Key: 3322, Value: 84927
Key: 3322, Value: 41284
Key: 322, Value: 41899
Key: 322, Value: 5075
Key: 9350, Value: 55064
Key: 2355, Value: 89987
Key: 4356, Value: 68870
Key: 2357, Value: 11006
Key: 3365, Value: 32780
Key: 372, Value: 99937
Key: 3374, Value: 38522
Key: 6381, Value: 24602
Key: 6381, Value: 21254
Key: 2403, Value: 64047
Key: 2403, Value: 27430
Key: 3406, Value: 37381
Key: 7408, Value: 23639
Key: 2410, Value: 65834
Key: 4419, Value: 73198
Key: 6423, Value: 55437
Key: 5431, Value: 76460
Key: 1435, Value: 79581
Key: 6445, Value: 44529
Key: 9450, Value: 86167
Key: 1452, Value: 16202
Key: 1452, Value: 39663
Key: 5455, Value: 42869
Key: 4459, Value: 2018
Key: 6462, Value: 74631
Key: 1470, Value: 67485
Key: 7476, Value: 17662
Key: 9476, Value: 17256
Key: 7476, Value: 26417
Key: 7476, Value: 94349
Key: 5477, Value: 84234
Key: 5479, Value: 67537
Key: 496, Value: 90173
Key: 1498, Value: 11174
Key: 1498, Value: 77504
Key: 1498, Value: 15236
Key: 5498, Value: 68804
Key: 520, Value: 71280
Key: 1525, Value: 53494
Key: 1525, Value: 91476
Key: 1525, Value: 25116
Key: 7526, Value: 22725
Key: 7526, Value: 48760
Key: 5535, Value: 97297
Key: 5535, Value: 19182
Key: 541, Value: 40156
Key: 6542, Value: 41034
Key: 4549, Value: 31026
Key: 1550, Value: 25136
Key: 1550, Value: 71277
Key: 573, Value: 72501
Key: 5585, Value: 29867
Key: 6592, Value: 44314
Key: 6592, Value: 36236
Key: 3596, Value: 7523
Key: 3596, Value: 98920
Key: 3596, Value: 83180
Key: 6599, Value: 38973
Key: 2604, Value: 18542
Key: 5613, Value: 17077
Key: 9627, Value: 86843
Key: 6628, Value: 95502
Key: 6628, Value: 71100
Key: 4635, Value: 36964
Key: 4635, Value: 12171
Key: 2636, Value: 1654
Key: 7647, Value: 68178
Key: 7647, Value: 97742
Key: 3649, Value: 59074
Key: 8656, Value: 36202
Key: 3666, Value: 98759
Key: 6667, Value: 94190
Key: 9668, Value: 26016
Key: 9668, Value: 62678
Key: 3670, Value: 92364
Key: 3670, Value: 99450
Key: 1677, Value: 27642
Key: 1681, Value: 27259
Key: 4687, Value: 55220
Key: 6690, Value: 25763
Key: 8710, Value: 23270
Key: 8710, Value: 62920
Key: 4728, Value: 61341
Key: 2743, Value: 63709
Key: 9751, Value: 42875
Key: 9751, Value: 67062
Key: 1752, Value: 25875
Key: 1752, Value: 1140
Key: 5753, Value: 13565
Key: 8765, Value: 67530
Key: 5779, Value: 93588
Key: 4782, Value: 58657
Key: 6784, Value: 13661
Key: 9786, Value: 23421
Key: 6791, Value: 94575
Key: 3791, Value: 99354
Key: 6791, Value: 82208
Key: 8798, Value: 6260
Key: 5800, Value: 98485
Key: 5800, Value: 25258
Key: 5800, Value: 97037
Key: 817, Value: 33698
Key: 817, Value: 65022
Key: 1818, Value: 78054
Key: 1826, Value: 49374
Key: 1826, Value: 77422
Key: 3827, Value: 48563
Key: 6828, Value: 69631
Key: 1831, Value: 10332
Key: 2836, Value: 35727
Key: 2836, Value: 1248
Key: 1839, Value: 99130
Key: 1839, Value: 62218
Key: 7840, Value: 97002
Key: 5849, Value: 88931
Key: 9860, Value: 18232
Key: 5870, Value: 14268
Key: 4877, Value: 58706
Key: 1878, Value: 30573
Key: 8904, Value: 35036
Key: 7913, Value: 59169
Key: 7930, Value: 28553
Key: 5934, Value: 54918
Key: 2942, Value: 63492
Key: 1961, Value: 27150
Key: 2962, Value: 20406
Key: 3965, Value: 14449
Key: 8965, Value: 59161
Key: 8965, Value: 161
Key: 3965, Value: 75048
Key: 8965, Value: 67753
Key: 3966, Value: 78290
Key: 9966, Value: 48645
Key: 3967, Value: 76121
Key: 982, Value: 76343
Key: 982, Value: 12128
Key: 982, Value: 71808
Key: 3983, Value: 70676
Key: 7990, Value: 90765
Key: 7990, Value: 55815
Key: 7990, Value: 74372
Key: 7990, Value: 81124
Key: 2991, Value: 97692
Key: 8999, Value: 537
Key: 7999, Value: 43034
